feb,oct
8200.25,8089.05
8016.8,8061.65
8142.1,8098.55
8212.2,8184.15
8189.2,8236.55
8173.6,8260.4
8067.35,8211.85
7969.3,8135.2
7961.1,8065.9
7933.4,8120.25
7977.15,8036.5
7833.6,8027
7758,7946.5
7769.4,7991.95
7756.35,7888.6
7644.05,8119.1
